Protein.Names,Exo1_92.1_Control_rep1,Exo1_92.1_Control_rep2,Exo2_IBUD_rep1,Exo2_IBUD_rep2,Exo3_Control_rep1,Exo3_Control_rep2,Exo4_IBUD_rep1,Exo4_IBUD_rep2,Exo5_Control_rep1,Exo5_Control_rep2,Exo6_IBUD_rep1,Exo6_IBUD_rep2
MLP3B_HUMAN;MP3B2_HUMAN,3.00E+04,3.19E+04,4.24E+04,4.85E+04,2.59E+04,2.79E+04,2.98E+04,3.15E+04,1.60E+04,9.65E+03,1.35E+04,1.33E+04
CB072_HUMAN,,1.38E+03,,,6.04E+03,5.85E+03,5.28E+03,4.79E+03,1.40E+04,1.27E+04,1.72E+04,1.55E+04
PGP_HUMAN,6.98E+03,5.42E+03,8.19E+03,6.89E+03,8.72E+03,8.43E+03,7.15E+03,8.22E+03,9.67E+03,1.00E+04,1.18E+04,1.21E+04
CE051_HUMAN,1.22E+03,1.85E+03,2.08E+03,2.70E+03,3.93E+03,3.71E+03,3.51E+03,4.14E+03,2.35E+03,3.20E+03,3.04E+03,4.57E+03
GG12J_HUMAN,,,,,2.53E+04,2.40E+04,2.42E+04,3.07E+04,3.00E+04,3.18E+04,3.59E+04,3.22E+04
TBAL3_HUMAN,5.02E+03,7.78E+03,5.77E+03,4.58E+03,4.17E+03,3.68E+03,4.32E+03,3.89E+03,6.02E+03,5.27E+03,7.93E+03,7.43E+03
SMHD1_HUMAN,6.96E+03,7.09E+03,1.02E+04,1.07E+04,7.30E+03,3.30E+03,4.23E+03,3.15E+03,5.32E+03,4.14E+03,4.21E+03,5.76E+03
CAST2_HUMAN,,2.21E+03,,2.08E+03,1.81E+03,2.76E+03,2.62E+03,2.50E+03,2.53E+03,2.68E+03,3.05E+03,3.11E+03
U119B_HUMAN,6.80E+03,5.15E+03,6.65E+03,6.20E+03,6.41E+03,6.22E+03,6.04E+03,8.03E+03,5.72E+03,5.96E+03,7.03E+03,8.56E+03
CC85C_HUMAN,3.31E+02,4.19E+02,4.36E+02,9.21E+02,2.59E+02,3.26E+02,2.51E+02,,4.48E+02,3.95E+02,3.95E+02,7.22E+02
RHG32_HUMAN,6.40E+03,3.95E+03,,,3.04E+03,2.35E+03,3.90E+03,4.68E+03,2.65E+03,2.73E+03,2.30E+03,2.81E+03
WASH1_HUMAN,1.93E+03,1.16E+03,4.65E+03,,,,,,1.14E+03,1.31E+03,1.21E+03,1.63E+03
A2ML1_HUMAN,3.36E+03,4.34E+03,,2.36E+03,,,,,,,,
HIDE1_HUMAN,2.31E+03,3.61E+03,4.03E+03,3.18E+03,,,,1.61E+03,2.26E+03,1.76E+03,2.46E+03,3.01E+03
F1712_HUMAN,2.34E+04,2.19E+04,1.87E+04,1.98E+04,1.49E+04,1.79E+04,1.40E+04,1.76E+04,1.82E+04,2.01E+04,2.10E+04,2.45E+04
RUXGL_HUMAN;RUXG_HUMAN,1.42E+04,1.09E+04,1.36E+04,1.64E+04,1.03E+04,1.31E+04,1.74E+04,2.18E+04,2.01E+04,2.38E+04,2.12E+04,2.13E+04
IMA8_HUMAN,5.33E+03,9.81E+03,2.37E+04,2.35E+04,1.80E+04,1.89E+04,1.22E+04,1.20E+04,1.41E+04,1.43E+04,1.35E+04,9.92E+03
WDR64_HUMAN,1.58E+04,1.41E+04,1.76E+04,1.51E+04,2.63E+04,5.44E+03,1.03E+04,,1.14E+04,,,
SMIM1_HUMAN,5.84E+03,5.71E+03,4.85E+03,5.92E+03,5.12E+03,8.03E+03,7.41E+03,9.92E+03,1.74E+04,2.04E+04,2.14E+04,2.67E+04
EIF3C_HUMAN;EIFCL_HUMAN,3.41E+04,3.42E+04,4.74E+04,5.14E+04,2.11E+04,2.40E+04,2.49E+04,3.09E+04,2.85E+04,3.00E+04,2.72E+04,3.16E+04
IGLL5_HUMAN,1.08E+04,2.66E+03,6.62E+03,2.37E+03,5.99E+03,4.57E+03,7.04E+03,3.25E+03,4.57E+03,,3.10E+03,1.87E+03
UMAD1_HUMAN,1.31E+04,1.41E+04,2.65E+04,2.66E+04,1.73E+04,2.05E+04,1.82E+04,2.26E+04,2.18E+04,2.38E+04,2.23E+04,2.05E+04
MCRI1_HUMAN,1.20E+04,7.67E+03,8.54E+03,8.58E+03,6.52E+03,6.64E+03,6.23E+03,6.38E+03,,4.50E+03,,5.82E+03
AK1BA_HUMAN;AK1BF_HUMAN,6.78E+03,6.51E+03,4.53E+03,4.69E+03,4.19E+03,4.74E+03,4.16E+03,5.90E+03,3.24E+03,3.72E+03,3.16E+03,4.07E+03
NACAM_HUMAN;NACA_HUMAN,9.51E+03,9.26E+03,1.44E+04,1.61E+04,1.41E+04,1.71E+04,1.63E+04,1.81E+04,1.54E+04,1.50E+04,1.41E+04,1.49E+04
NPIB6_HUMAN,,,,,1.45E+04,1.63E+04,1.93E+04,1.53E+04,1.25E+04,1.21E+04,9.51E+03,6.79E+03
FND10_HUMAN,2.00E+03,,,,,,,2.16E+03,1.32E+04,1.40E+04,1.05E+04,1.32E+04
CNIPF_HUMAN;CNKR3_HUMAN,,,,1.56E+03,1.90E+03,2.17E+03,1.05E+03,2.16E+03,1.07E+03,1.31E+03,1.47E+03,1.53E+03
T178B_HUMAN,,,,,,6.97E+02,,,2.00E+03,2.67E+03,3.50E+03,3.74E+03
CRCC2_HUMAN,,5.70E+03,5.04E+03,,7.47E+03,,,5.50E+03,7.18E+03,8.51E+03,6.33E+03,8.06E+03
DNS2A_HUMAN,5.88E+04,5.80E+04,6.62E+04,6.16E+04,6.87E+03,6.72E+03,9.26E+03,8.32E+03,1.13E+04,1.33E+04,2.15E+04,2.74E+04
ADAS_HUMAN,1.03E+03,,2.02E+03,2.33E+03,8.77E+02,1.46E+03,1.95E+03,1.85E+03,2.69E+03,2.12E+03,2.58E+03,3.20E+03
KIF2A_HUMAN,1.58E+04,1.35E+04,1.63E+04,1.52E+04,1.99E+04,2.02E+04,1.67E+04,1.90E+04,1.40E+04,1.57E+04,1.56E+04,1.96E+04
SGK1_HUMAN,,,2.08E+03,,1.61E+03,1.39E+03,2.15E+03,1.60E+03,1.53E+03,1.48E+03,,
DX39A_HUMAN,4.15E+03,3.41E+03,4.20E+03,3.33E+03,1.20E+03,1.33E+03,4.57E+03,1.85E+03,1.56E+03,2.98E+03,2.89E+03,4.95E+03
PDLI1_HUMAN,4.29E+04,4.48E+04,4.92E+04,4.77E+04,1.91E+04,2.19E+04,1.95E+04,2.11E+04,3.73E+04,3.89E+04,3.84E+04,3.81E+04
BACH_HUMAN,2.74E+04,2.80E+04,3.19E+04,3.09E+04,4.76E+04,5.66E+04,5.43E+04,6.73E+04,2.16E+04,2.19E+04,2.26E+04,2.50E+04
MYO1C_HUMAN,2.11E+05,2.21E+05,2.22E+05,2.19E+05,3.34E+05,3.61E+05,3.70E+05,4.02E+05,5.54E+05,5.89E+05,5.99E+05,6.55E+05
MYO1F_HUMAN,,,1.25E+03,1.39E+03,7.63E+03,1.36E+04,1.55E+04,2.19E+04,3.27E+03,2.84E+03,5.45E+03,6.46E+03
SNP23_HUMAN,2.42E+05,2.82E+05,2.44E+05,2.59E+05,1.61E+05,1.74E+05,1.49E+05,1.62E+05,2.70E+05,2.85E+05,2.82E+05,2.96E+05
AIP_HUMAN,2.27E+04,2.32E+04,2.51E+04,2.48E+04,2.93E+04,3.33E+04,2.99E+04,3.10E+04,2.85E+04,3.07E+04,3.00E+04,3.66E+04
GTPB1_HUMAN,6.53E+03,6.59E+03,7.52E+03,7.50E+03,4.62E+03,4.98E+03,4.58E+03,5.66E+03,3.30E+03,3.17E+03,3.84E+03,4.89E+03
STXB3_HUMAN,7.05E+04,6.79E+04,5.66E+04,5.67E+04,8.88E+04,9.88E+04,8.46E+04,1.05E+05,6.45E+04,6.81E+04,7.31E+04,8.25E+04
ARVC_HUMAN,8.13E+03,6.09E+03,6.19E+03,7.41E+03,6.26E+03,6.73E+03,7.02E+03,7.66E+03,5.94E+03,6.17E+03,5.24E+03,5.60E+03
SMAP_HUMAN,2.52E+03,3.27E+03,2.74E+03,3.87E+03,4.06E+03,4.65E+03,4.15E+03,4.00E+03,2.77E+03,2.65E+03,2.10E+03,2.35E+03
RB27B_HUMAN,4.16E+04,4.58E+04,2.20E+04,2.55E+04,2.06E+04,1.85E+04,1.75E+04,1.95E+04,2.67E+04,2.63E+04,2.14E+04,2.23E+04
AP3B1_HUMAN,1.38E+04,1.46E+04,1.92E+04,1.91E+04,7.54E+03,8.21E+03,8.97E+03,9.80E+03,8.53E+03,7.72E+03,9.09E+03,1.06E+04
APBB1_HUMAN,5.69E+03,6.41E+03,7.99E+03,6.95E+03,5.97E+03,7.19E+03,5.99E+03,7.33E+03,7.89E+03,7.52E+03,8.95E+03,1.05E+04
LEG8_HUMAN,5.72E+03,7.08E+03,7.42E+03,7.25E+03,,,,,,,,
PSD11_HUMAN,2.65E+04,2.87E+04,3.55E+04,3.27E+04,1.83E+04,1.85E+04,1.88E+04,2.11E+04,2.72E+04,2.77E+04,2.40E+04,2.71E+04
PSD12_HUMAN,1.87E+04,1.92E+04,1.81E+04,2.04E+04,8.82E+03,9.64E+03,1.00E+04,1.18E+04,1.62E+04,1.80E+04,1.50E+04,1.55E+04
PSMD9_HUMAN,1.45E+04,1.16E+04,9.93E+03,1.47E+04,2.24E+04,2.33E+04,2.20E+04,2.27E+04,2.08E+04,2.09E+04,2.15E+04,2.34E+04
ATOX1_HUMAN,2.07E+04,2.17E+04,2.55E+04,2.32E+04,1.74E+05,1.86E+05,1.43E+05,1.64E+05,3.02E+04,2.78E+04,3.33E+04,4.03E+04
PGRC1_HUMAN,2.50E+04,2.87E+04,3.03E+04,2.35E+04,8.55E+03,8.02E+03,1.09E+04,1.07E+04,1.31E+04,1.07E+04,1.13E+04,1.74E+04
SPT5H_HUMAN,6.12E+03,4.99E+03,5.88E+03,6.51E+03,2.93E+03,3.09E+03,3.83E+03,4.13E+03,2.34E+03,2.33E+03,2.76E+03,3.69E+03
DFFA_HUMAN,1.06E+04,1.06E+04,1.28E+04,6.55E+03,1.21E+04,1.23E+04,1.14E+04,1.10E+04,1.57E+04,1.61E+04,1.71E+04,1.71E+04
HIP1_HUMAN,5.93E+03,6.03E+03,5.95E+03,6.52E+03,1.02E+04,1.15E+04,1.13E+04,1.33E+04,1.10E+04,1.27E+04,1.19E+04,1.47E+04
CLIC1_HUMAN,2.40E+05,2.51E+05,2.40E+05,2.53E+05,6.08E+05,6.36E+05,6.89E+05,7.21E+05,8.57E+05,8.81E+05,7.10E+05,7.43E+05
EIF3F_HUMAN,1.68E+04,1.53E+04,2.41E+04,2.14E+04,1.72E+04,1.88E+04,1.89E+04,2.12E+04,1.82E+04,1.99E+04,1.58E+04,1.79E+04
WWP2_HUMAN,1.03E+04,1.02E+04,1.11E+04,1.05E+04,7.49E+03,7.99E+03,8.38E+03,1.07E+04,7.22E+03,7.30E+03,7.98E+03,9.75E+03
ODPX_HUMAN,,,,3.95E+03,,,,,4.24E+03,3.26E+03,4.19E+03,6.06E+03
MATN2_HUMAN,,4.22E+03,,3.79E+03,,,,,1.90E+04,1.91E+04,2.45E+04,2.50E+04
QSOX1_HUMAN,1.35E+04,1.25E+04,1.21E+04,1.21E+04,5.62E+03,6.95E+03,6.60E+03,6.71E+03,5.44E+03,6.30E+03,6.18E+03,6.43E+03
DCTN6_HUMAN,,,,,2.47E+03,1.84E+03,2.28E+03,2.24E+03,2.68E+03,1.91E+03,2.72E+03,3.23E+03
ACATN_HUMAN,2.15E+03,1.26E+03,1.11E+03,1.75E+03,,,,,5.25E+02,,,3.92E+02
WASL_HUMAN,2.24E+04,2.33E+04,2.18E+04,1.91E+04,3.91E+04,4.22E+04,4.28E+04,4.48E+04,2.79E+04,2.97E+04,2.70E+04,2.52E+04
IPO5_HUMAN,2.22E+04,2.33E+04,2.69E+04,2.84E+04,2.05E+04,2.25E+04,2.15E+04,2.31E+04,1.93E+04,1.87E+04,1.99E+04,2.31E+04
EF2K_HUMAN,6.50E+03,6.59E+03,5.94E+03,7.42E+03,3.94E+03,4.16E+03,4.13E+03,4.40E+03,2.89E+03,3.64E+03,3.07E+03,4.19E+03
SAP18_HUMAN,8.72E+02,1.30E+03,,1.65E+03,,,6.69E+02,9.36E+02,9.75E+02,8.49E+02,1.15E+03,9.89E+02
IF2B3_HUMAN,1.34E+04,1.43E+04,1.86E+04,1.68E+04,4.60E+03,4.76E+03,5.15E+03,5.48E+03,9.28E+03,1.03E+04,1.17E+04,1.29E+04
DNM1L_HUMAN,,,,1.27E+03,3.05E+03,3.75E+03,3.12E+03,3.76E+03,2.05E+03,2.65E+03,2.50E+03,3.78E+03
DNM1L_HUMAN,1.46E+04,1.75E+04,1.67E+04,1.69E+04,2.38E+04,2.66E+04,3.02E+04,3.37E+04,1.91E+04,2.06E+04,1.87E+04,2.16E+04
RTCA_HUMAN,,3.44E+03,1.67E+03,2.88E+03,3.90E+03,3.93E+03,4.27E+03,4.66E+03,4.02E+03,3.95E+03,4.36E+03,4.47E+03
P3C2A_HUMAN,1.09E+04,1.15E+04,1.30E+04,1.41E+04,5.59E+03,6.13E+03,7.24E+03,7.69E+03,4.91E+03,5.43E+03,7.17E+03,7.75E+03
IFRD1_HUMAN,,,1.47E+03,,,1.13E+03,,,1.88E+03,1.96E+03,2.16E+03,2.98E+03
P85B_HUMAN,,,4.23E+03,,1.73E+03,1.37E+03,8.80E+02,2.10E+03,2.63E+03,2.74E+03,3.02E+03,3.29E+03
GOLI4_HUMAN,9.31E+03,6.66E+03,7.29E+03,8.06E+03,3.72E+03,4.15E+03,5.27E+03,5.65E+03,1.46E+03,,1.50E+03,1.82E+03
AGRIN_HUMAN,,,,,,,,1.30E+03,1.41E+03,6.22E+02,1.99E+03,1.68E+03
AGRIN_HUMAN,4.68E+05,4.68E+05,4.72E+05,4.77E+05,5.03E+04,5.41E+04,7.39E+04,9.18E+04,9.26E+04,9.56E+04,1.78E+05,2.10E+05
PLOD2_HUMAN,,,,3.50E+03,,,,,,,,
EXOC5_HUMAN,7.94E+03,7.99E+03,9.78E+03,9.68E+03,9.70E+03,1.10E+04,9.97E+03,1.16E+04,1.45E+04,1.42E+04,1.70E+04,1.75E+04
BT3A3_HUMAN,1.40E+04,1.32E+04,1.11E+04,1.26E+04,1.10E+04,1.07E+04,9.27E+03,1.05E+04,1.53E+04,1.68E+04,1.63E+04,1.94E+04
BT3A1_HUMAN,4.96E+03,4.58E+03,5.16E+03,5.92E+03,6.55E+03,5.51E+03,6.57E+03,7.67E+03,6.51E+03,6.69E+03,8.30E+03,8.67E+03
NDUA4_HUMAN,1.32E+04,1.11E+04,1.23E+04,1.19E+04,,,,,,,2.96E+03,4.35E+03
PSDE_HUMAN,1.71E+04,1.95E+04,2.21E+04,2.08E+04,8.95E+03,1.13E+04,1.53E+04,1.52E+04,2.00E+04,1.92E+04,1.55E+04,1.37E+04
BIN1_HUMAN,3.94E+03,5.53E+03,5.71E+03,5.21E+03,9.34E+03,1.03E+04,9.54E+03,1.07E+04,5.93E+03,6.92E+03,7.35E+03,7.70E+03
IMA4_HUMAN,1.30E+04,1.16E+04,1.18E+04,1.40E+04,1.60E+04,2.00E+04,1.49E+04,1.91E+04,9.97E+03,1.14E+04,1.32E+04,1.50E+04
STK25_HUMAN,1.48E+04,1.59E+04,2.04E+04,1.84E+04,2.07E+04,2.19E+04,1.98E+04,2.14E+04,2.08E+04,2.42E+04,2.43E+04,2.71E+04
USP9Y_HUMAN,7.29E+03,8.59E+03,8.88E+03,4.72E+03,,2.32E+03,4.09E+03,2.73E+03,5.04E+03,,,5.08E+03
KRIT1_HUMAN,8.20E+03,8.48E+03,8.19E+03,8.60E+03,8.13E+03,9.27E+03,6.42E+03,8.10E+03,1.06E+04,1.04E+04,1.23E+04,1.50E+04
NCHL1_HUMAN,,,,1.73E+04,2.09E+04,2.34E+04,2.04E+04,2.16E+04,4.53E+03,4.02E+03,3.24E+03,4.67E+03
PESC_HUMAN,1.63E+04,1.42E+04,1.50E+04,1.43E+04,5.57E+03,6.34E+03,9.13E+03,8.99E+03,5.64E+03,5.80E+03,1.05E+04,8.57E+03
SDCB1_HUMAN,2.03E+06,1.96E+06,1.86E+06,1.92E+06,2.48E+06,2.64E+06,2.53E+06,2.76E+06,1.68E+06,1.72E+06,1.34E+06,1.40E+06
SDCB1_HUMAN,1.63E+05,2.73E+05,3.53E+05,3.93E+05,5.70E+05,4.61E+05,6.55E+05,5.77E+05,2.94E+05,2.99E+05,2.60E+05,2.85E+05
NOP56_HUMAN,2.60E+04,2.57E+04,2.67E+04,2.73E+04,9.37E+03,1.05E+04,1.36E+04,1.56E+04,1.82E+04,1.93E+04,2.56E+04,2.78E+04
DDX3X_HUMAN,3.96E+04,4.09E+04,5.59E+04,5.77E+04,2.89E+04,2.76E+04,2.84E+04,3.06E+04,2.97E+04,2.99E+04,3.36E+04,3.77E+04
RNT2_HUMAN,5.66E+03,5.87E+03,8.81E+03,8.40E+03,,,,,,,,
PODXL_HUMAN,5.08E+03,6.42E+03,2.93E+03,,3.62E+03,4.09E+03,4.19E+03,5.55E+03,1.33E+05,1.51E+05,1.32E+05,1.57E+05
CCN1_HUMAN,,,,,2.69E+03,4.46E+03,,3.44E+03,5.13E+03,7.73E+03,9.16E+03,8.77E+03
PIR_HUMAN,4.07E+04,4.85E+04,3.86E+04,4.41E+04,8.85E+04,1.11E+05,9.74E+04,1.23E+05,4.92E+04,5.48E+04,5.15E+04,6.27E+04
IMA3_HUMAN,1.06E+04,1.13E+04,1.59E+04,1.59E+04,1.67E+04,2.04E+04,1.46E+04,2.02E+04,7.92E+03,8.77E+03,9.61E+03,1.10E+04
TRI38_HUMAN,8.41E+03,5.01E+03,6.55E+03,5.27E+03,4.42E+03,4.11E+03,4.48E+03,5.34E+03,3.63E+03,4.20E+03,3.71E+03,4.02E+03
PPP6_HUMAN,6.34E+03,1.02E+04,9.48E+03,8.45E+03,4.48E+03,4.53E+03,3.78E+03,4.93E+03,5.53E+03,6.51E+03,5.31E+03,6.75E+03
MA2B1_HUMAN,1.89E+04,1.78E+04,2.70E+04,2.70E+04,2.57E+03,3.29E+03,4.68E+03,5.49E+03,5.96E+03,6.31E+03,1.28E+04,1.32E+04
UBE2C_HUMAN,1.16E+04,1.30E+04,1.16E+04,1.43E+04,8.67E+03,7.66E+03,9.12E+03,8.56E+03,8.60E+03,7.02E+03,8.04E+03,9.07E+03
PDXK_HUMAN,7.13E+03,6.02E+03,5.71E+03,6.05E+03,1.02E+04,1.47E+04,1.32E+04,1.71E+04,1.44E+04,1.59E+04,1.60E+04,1.83E+04
SCD_HUMAN,8.06E+03,9.52E+03,1.03E+04,1.11E+04,2.58E+03,2.44E+03,3.78E+03,3.59E+03,4.33E+03,4.21E+03,3.47E+03,2.94E+03
PLPP1_HUMAN,5.02E+03,9.71E+03,4.93E+03,6.36E+03,3.92E+03,3.85E+03,3.83E+03,3.73E+03,5.24E+03,5.40E+03,5.47E+03,6.59E+03
PLPP3_HUMAN,1.05E+04,1.14E+04,1.59E+04,1.79E+04,7.02E+04,8.03E+04,9.46E+04,1.14E+05,1.72E+04,2.09E+04,2.64E+04,3.35E+04
NCKP5_HUMAN,1.09E+05,,1.08E+05,,,2.73E+04,1.69E+04,2.82E+04,4.96E+04,6.03E+04,2.72E+04,3.76E+04
TXND9_HUMAN,4.76E+03,4.15E+03,5.28E+03,5.43E+03,3.88E+03,4.82E+03,4.44E+03,6.25E+03,2.38E+03,2.71E+03,3.09E+03,2.54E+03
DPYL4_HUMAN,1.29E+04,1.43E+04,1.64E+04,1.58E+04,3.97E+03,4.64E+03,1.89E+03,3.49E+03,4.08E+03,4.48E+03,3.28E+03,4.25E+03
TRAD1_HUMAN,3.12E+03,2.70E+03,3.96E+03,2.78E+03,2.17E+03,2.98E+03,1.93E+03,2.93E+03,2.82E+03,2.83E+03,3.13E+03,4.12E+03
G3PT_HUMAN,,,,,1.83E+04,1.85E+04,1.60E+04,1.92E+04,4.59E+03,4.65E+03,4.47E+03,6.47E+03
ACPM_HUMAN,6.97E+03,6.47E+03,1.09E+04,9.26E+03,,,,,2.23E+03,,1.66E+03,
UBFD1_HUMAN,,2.26E+03,5.24E+03,5.49E+03,8.03E+03,1.13E+04,9.75E+03,1.16E+04,3.36E+03,4.14E+03,4.08E+03,4.67E+03
CTRO_HUMAN,9.46E+03,7.25E+03,5.77E+03,4.81E+03,6.26E+03,7.51E+03,4.01E+03,8.15E+03,3.65E+03,6.50E+03,7.83E+03,9.45E+03
CTRO_HUMAN,6.64E+04,6.00E+04,7.97E+04,8.27E+04,8.95E+04,9.52E+04,9.14E+04,1.03E+05,7.73E+04,8.33E+04,8.21E+04,8.87E+04
COPE_HUMAN,8.66E+03,9.62E+03,1.07E+04,1.11E+04,9.64E+03,8.84E+03,9.93E+03,1.23E+04,8.90E+03,1.04E+04,1.06E+04,1.25E+04
CTDS2_HUMAN,3.32E+03,2.86E+03,2.31E+03,2.44E+03,9.85E+03,1.47E+04,1.42E+04,1.51E+04,1.19E+04,1.48E+04,1.56E+04,2.14E+04
AP3D1_HUMAN,9.63E+03,1.08E+04,1.47E+04,1.55E+04,5.44E+03,7.07E+03,6.67E+03,8.19E+03,6.54E+03,6.05E+03,8.58E+03,9.70E+03
CCS_HUMAN,5.75E+03,4.35E+03,5.15E+03,6.09E+03,6.04E+03,5.49E+03,6.31E+03,6.80E+03,1.02E+04,1.00E+04,9.31E+03,9.20E+03
ABLM1_HUMAN,,,1.98E+03,1.82E+03,1.27E+03,1.80E+03,,1.63E+03,2.50E+03,2.94E+03,3.14E+03,3.20E+03
DVL1_HUMAN,,,,,1.92E+03,1.42E+03,1.54E+03,2.09E+03,1.06E+03,1.52E+03,1.16E+03,1.87E+03
DVL2_HUMAN,,,5.23E+03,7.29E+03,4.52E+03,5.17E+03,4.58E+03,5.15E+03,7.08E+03,7.07E+03,8.59E+03,9.53E+03
CHD1_HUMAN,1.01E+04,9.21E+03,1.33E+04,1.42E+04,2.80E+03,3.06E+03,3.97E+03,4.68E+03,2.07E+03,3.13E+03,8.49E+03,9.34E+03
TOR1B_HUMAN,,3.82E+03,5.04E+03,4.56E+03,,,3.02E+03,2.16E+03,2.19E+03,2.47E+03,2.27E+03,2.57E+03
STX16_HUMAN,9.22E+03,1.05E+04,1.11E+04,1.18E+04,5.04E+03,5.50E+03,5.70E+03,7.01E+03,5.18E+03,4.77E+03,5.89E+03,6.05E+03
ADA10_HUMAN,1.86E+05,1.97E+05,1.87E+05,1.86E+05,3.51E+05,3.81E+05,2.99E+05,3.20E+05,3.02E+05,3.07E+05,2.66E+05,2.80E+05
ABCD4_HUMAN,3.21E+03,3.15E+03,5.02E+03,3.69E+03,,,,1.49E+03,,,9.89E+02,
P5I11_HUMAN,,5.76E+03,5.19E+03,4.01E+03,,,,,3.31E+03,2.51E+03,3.34E+03,2.96E+03
ITBP1_HUMAN,1.45E+04,1.11E+04,1.22E+04,1.37E+04,1.26E+04,1.58E+04,1.09E+04,1.31E+04,1.38E+04,1.66E+04,1.77E+04,2.28E+04
PDCD5_HUMAN,1.67E+04,1.37E+04,2.26E+04,1.95E+04,3.65E+04,4.03E+04,3.37E+04,4.20E+04,1.17E+04,1.38E+04,1.18E+04,1.39E+04
ANM5_HUMAN,1.31E+04,1.70E+04,2.07E+04,2.32E+04,2.13E+04,2.28E+04,2.00E+04,2.54E+04,2.48E+04,2.84E+04,2.62E+04,2.93E+04
